Name,Address,City,Region,Country
Airliner,4155 NW 24th Street,Miami,Florida,USA
Aitken Centre,20 MacKay Drive,Fredericton,New Brunswick,Canada
Akita Kenminkaikan,2-52 Senshumeitokumachi,Akita,Tōhoku,Japan
Akron Agora Theatre,4193 State Road,Cuyahoga Falls,Ohio,USA
Akron Civic Theatre,182 S. Main Street,Akron,Ohio,USA
Akron Rubber Bowl,800 George Washington Boulevard,Akron,Ohio,USA
Al Bedoo Shrine Auditorium,1125 Broadwater Avenue,Billings,Montana,USA
Al George's,18458 James Couzens,Detroit,Michigan,USA
Alabama State Fairgrounds,,Birmingham,Alabama,USA
Aladdin Theatre,3667 Las Vegas Boulevard S,Las Vegas,Nevada,USA
Alameda County Fairgrounds,4501 Pleasanton Avenue,Pleasanton,California,USA
Alamodome,100 Montana Street,San Antonio,Texas,USA
Alarm,28949 Joy Road,Westland,Michigan,USA
Albee Theater,13 E. Fifth Street,Cincinnati,Ohio,USA
Albion College,100 N. Hannah,Albion,Michigan,USA
Albright College Field House,,Reading,Pennsylvania,USA
Albuquerque Civic Auditorium,Grand Avenue,Albuquerque,New Mexico,USA
Albuquerque Convention Center,401 Second Street NW,Albuquerque,New Mexico,USA
Ale Haus,Michigan Avenue,Ypsilanti,Michigan,USA
Alex Cooley's Electric Ballroom,663 Peachtree Street NE,Atlanta,Georgia,USA
Alex's,321 E. Michigan Avenue,Lansing,Michigan,USA
Alexander's,4265 Woodward Avenue,Detroit,Michigan,USA
Alexander's Sunset Inn,Pemberton-Browns Mills Road,Browns Mills,New Jersey,USA
Alexandra Palace,Alexandra Palace Way,London,,England
Alexandria Roller Rink,807 N. Saint Asaph Street,Alexandria,Virginia,USA
Alfred Brush Ford Park,100 Lakewood Street,Detroit,Michigan,USA
Alger Theater,16451 E. Warren Avenue,Detroit,Michigan,USA
Alhambra Tavern,10309 Euclid Avenue,Cleveland,Ohio,USA
Alibi,613 N. Main Street,Ann Arbor,Michigan,USA
Alibi East,3965 E. Broomfield Road,Mount Pleasant,Michigan,USA
Alice Lloyd Cafeteria,100 S. Observatory Street,Ann Arbor,Michigan,USA
Alice Tully Hall,1941 Broadway,NYC,New York,USA
Alice's Restaurant,Alice Lloyd Hall,Ann Arbor,Michigan,USA
Allé-Ey,220 M.A.C. Avenue,East Lansing,Michigan,USA
Allegan County Fairgrounds,150 Allegan County Fair Drive,Allegan,Michigan,USA
Allen County Coliseum,4000 Parnell Avenue,Fort Wayne,Indiana,USA
Allen Fieldhouse,1651 Naismith Drive,Lawrence,Kansas,USA
Allen Park Municipal Auditorium,16850 Southfield Road,Allen Park,Michigan,USA
Allen Theater,1407 Euclid Avenue,Cleveland,Ohio,USA
Allentown Fairgrounds,302 N. 17th Street,Allentown,Pennsylvania,USA
Alley Door,,Ann Arbor,Michigan,USA
Alley Oops,17225 E. Warren Avenue,Detroit,Michigan,USA
Allphones Arena,Edwin Flack Ave & Olympic Blvd,Sydney,New South Wales,Australia
Allstate Arena,6920 Mannheim Road,Rosemont,Illinois,USA
Alltel Arena,1 Verizon Arena Way,Little Rock,Arkansas,USA
Alma College,614 W. Superior Street,Alma,Michigan,USA
Almont High School,4701 Howland Road,Almont,Michigan,USA
Almost Heaven,4443 Dixie Highway,Drayton Plains,Michigan,USA
Aloha Stadium,99-500 Salt Lake Boulevard,Honolulu,Hawaii,USA
Alpha Epsilon Pi,1912 Geddes,Ann Arbor,Michigan,USA
Alpha Tau Omega,,Ann Arbor,Michigan,USA
Alpine Valley Music Theatre,W2699 County Road D,Elkhorn,Wisconsin,USA
Altar Bar,1620 Penn Avenue,Pittsburgh,Pennsylvania,USA
Altiers,3965 Woodward Avenue,Detroit,Michigan,USA
Alvaro's,1824 W. 14 Mile Road,Royal Oak,Michigan,USA
Alvin's,5756 Cass Avenue,Detroit,Michigan,USA
Alvito's Bar,3600 Russell Street,Detroit,Michigan,USA
Alward Lake Park,Alward Road,Dewitt,Michigan,USA
Amalie Arena,401 Channelside Drive,Tampa,Florida,USA
Amarillo Civic Center,401 S. Buchanan Street,Amarillo,Texas,USA
Ambassador Auditorium,University Avenue W,Windsor,Ontario,Canada
Ambassador Hotel,3400 Wilshire Boulevard,Los Angeles,California,USA
Ambassador Hotel (The Ambo),106th Street,Edmonton,Alberta,Canada
Ambassador Roller Rink,96 W. 14 Mile Road,Clawson,Michigan,USA
Ambassador Theater,411 N. Seventh Street,St. Louis,Missouri,USA
Ambler Cabaret,43 E. Butler Avenue,Ambler,Pennsylvania,USA
Amer's First Street Grill,102 S. First Street,Ann Arbor,Michigan,USA
America West Arena,201 E. Jefferson Street,Phoenix,Arizona,USA
American Airlines Arena,601 Biscayne Boulevard,Miami,Florida,USA
American Airlines Center,2500 Victory Avenue,Dallas,Texas,USA
American Gothic Eatery & Pub,7502 W. Saginaw Highway,Lansing,Michigan,USA
American Legion Hall,Main Street,Ann Arbor,Michigan,USA
American Legion Post #351,46146 Cass Avenue,Utice,Michigan,USA
American Theatre,416 N. Ninth Street,St. Louis,Missouri,USA
AmSouth Amphitheatre,3839 Murfreesboro Road,Antioch,Tennessee,USA
Amsterdam Arena,ArenA Boulevard 1,Amsterdam,North Holland,Netherlands
Amway Arena,600 W. Amelia Street,Orlando,Florida,USA
Amway Grand Plaza,187 Monroe Avenue NW,Grand Rapids,Michigan,USA
Anaheim Convention Center,800 W. Katella Avenue,Anaheim,California,USA
Anaheim Stadium,2000 Gene Autry Way,Anaheim,California,USA
Anchor Inn,11980 McGregor Road,Pinckney,Michigan,USA
Anchor Inn,1970 Atwood Avenue,Madison,Wisconsin,USA
Anchor West,2655 Washtenaw Avenue,Ypsilanti,Michigan,USA
Anderson Auditorium,,Montreat,North Carolina,USA
Anderson Middle School,3205 Catalpa Drive,Berkley,Michigan,USA
Anderson Theatre,66 Second Avenue,NYC,New York,USA
Andiamo Celebrity Showroom,7096 E. Fourteen Mile Road,Warren,Michigan,USA
Andrew's on the Corner,201 Jos. Campau,Detroit,Michigan,USA
Animal Farm,Textile Road,Ypsilanti,Michigan,USA
Ann Arbor Armory,225 E. Ann Street,Ann Arbor,Michigan,USA
Ann Arbor District Library,343 S. Bates Street,Ann Arbor,Michigan,USA
Ann Arbor Free Arts Festival Main Stage,336 S. State Street,Ann Arbor,Michigan,USA
Ann Arbor High School,,Ann Arbor,Michigan,USA
Ann Arbor Hilton Hotel,610 Hilton Boulevard,Ann Arbor,Michigan,USA
Anselmo Valencia Tori Amphitheater,5655 W. Valencia Road,Tucson,Arizona,USA
Anson Room,University of Bristol Student Union,Bristol,South West,England
Anthony Gap Saloon & Dance Hall,113 N. Main Street,Anthony,Texas,USA
Antone's (1),141 E. Sixth Street,Austin,Texas,USA
Antone's (2),7934 Great Northern Boulevard,Austin,Texas,USA
Antone's (3),2915 Guadalupe Street,Austin,Texas,USA
Antonelli's Radio Café,546 Ouellette Avenue,Windsor,Ontario,Canada
ANZ Stadium,Kessel Road,Nathan,Queensland,Australia
Apartment Lounge,2200 Fuller Road,Ann Arbor,Michigan,USA
Apartment Lounge (D),18332 W. McNichols Road,Detroit,Michigan,USA
Apex Bar,7649 Oakland Street,Detroit,Michigan,USA
Apex Studios,W. 57th Street,NYC,New York,USA
Apollo Theater,253 W. 125th Street,Harlem,New York,USA
Aquanaut Lounge,Route 213,Wellsville,Ohio,USA
Aquarius Club,Sheffield Road,Chesterfield,Derbyshire,England
Aquatic Park,80 Bolivar Drive,Berkeley,California,USA
Aquinas College,1607 Robinson Road SE,Grand Rapids,Michigan,USA
Aquinas High School,15601 Northline Road,Southgate,Michigan,USA
Arab American National Museum,13624 Michigan Avenue,Dearborn,Michigan,USA
Aragon Ballroom,4255 Woodward Avenue,Detroit,Michigan,USA
Aragon Ballroom,1106 W. Lawrence Avenue,Chicago,Illinois,USA
Arbor Brewing Company,116 E. Washington Street,Ann Arbor,Michigan,USA
Arcadia Ballroom,3527 Woodward Avenue,Detroit,Michigan,USA
Arcadia Roller Rink,3527 Woodward Avenue,Detroit,Michigan,USA
Arcadia Theater,2005 Greenville Avenue,Dallas,Texas,USA
Archie's Pal-O-Mar,3335 E. Michigan Avenue,Lansing,Michigan,USA
ARCO Arena,1 Sports Parkway,Sacramento,California,USA
Arco Iris,1055 Fulton Street,Grand Rapids,Michigan,USA
Arena Gardens,4265 24th Avenue,Port Huron,Michigan,USA
Arie Crown Theater,2301 S. Lake Shore Drive,Chicago,Illinois,USA
Arizona Veterans Memorial Coliseum,1826 W. McDowell Road,Phoenix,Arizona,USA
Arlington High School,502 W. Euclid Avenue,Arlington Heights,Illinois,USA
Armadillo World Headquarters,525½ Barton Springs Road,Austin,Texas,USA
Arrowhead Pond,2695 E. Katella Avenue,Anaheim,California,USA
Arrowhead Stadium,1 Arrowhead Drive,Kansas City,Missouri,USA
Art Gallery of Windsor,445 Riverside Drive W,Windsor,Ontario,Canada
Art Van Furniture,6500 14 Mile Road,Warren,Michigan,USA
Arthur,1221 Washington Boulevard,Detroit,Michigan,USA
Arthur Hill Auditorium,3115 Mackinaw Street,Saginaw,Michigan,USA
Arthur Lesow Community Center,120 Eastchester Street,Monroe,Michigan,USA
Arthur's Eating House,1444 Biscayne Boulevard,Miami,Florida,USA
Artie Fields Studio,9428 Woodward Avenue,Detroit,Michigan,USA
"Arts, Beats & Eats",Saginaw Street,Pontiac,Michigan,USA
"Arts, Beats & Eats (RO)",,Royal Oak,Michigan,USA
Arturo's Jazz Theatre,25333 W. 12 Mile Road,Southfield,Michigan,USA
Aruba Palace,47 W. Seven Mile Road,Detroit,Michigan,USA
Asbury Lanes,209 Fourth Avenue,Asbury Park,New Jersey,USA
Asbury Park Casino Arena,Ocean Avenue,Asbury Park,New Jersey,USA
Asbury Park Convention Hall,1300 Ocean Avenue,Asbury Park,New Jersey,USA
Ash Grove,8162 Melrose Avenue,Hollywood,California,USA
Asheville City Auditorium,87 Haywood Street,Asheville,North Carolina,USA
Asheville Civic Center,87 Haywood Street,Asheville,North Carolina,USA
Asheville Memorial Stadium,32 Buchanan Place,Asheville,North Carolina,USA
Ashkenaz,1317 San Pablo Avenue,Berkeley,California,USA
Ashley's,8838 Telegraph Road,Redford Township,Michigan,USA
Ashley's Pub,338 S. State Street,Ann Arbor,Michigan,USA
Aspects,204 E. Tenth Street,NYC,New York,USA
Assembly Hall,1800 S. First Street,Champaign,Illinois,USA
Assumption University,400 Huron Church Road,Windsor,Ontario,Canada
Astor Theatre,1 Chapel Street,St. Kilda,Victoria,Australia
Astoria Theatre,232 Seven Sisters Road,London,Finsbury Park,England
ASU Activities Center,600 E. Veterans Way,Tempe,Arizona,USA
Asylum,1314 Broadway Street,Detroit,Michigan,USA
Asylum (P),209 N. Superior Street,Pontiac,Michigan,USA
Atlanta Civic Center,395 Piedmont Avenue NE,Atlanta,Georgia,USA
Atlanta Municipal Auditorium,30 Courtland Street SE,Atlanta,Georgia,USA
Atlanta-Fulton County Stadium,521 Capitol Avenue SE,Atlanta,Georgia,USA
Atlantic Recording Studios (1),157 W. 57th Street,NYC,New York,USA
Atlantic Recording Studios (2),1841 Broadway,NYC,New York,USA
Atlas Bar,2363 Yemans Street,Hamtramck,Michigan,USA
Attic Bar,11667 Joseph Campau Avenue,Hamtramck,Michigan,USA
Attic Theatre,7339 Third Avenue,Detroit,Michigan,USA
Atwater Block Brewery,237 Jos. Campau,Detroit,Michigan,USA
Atwater Spring Fest,Atwater & St. Aubin,Detroit,Michigan,USA
Atwood Stadium,701 W. Third Avenue,Flint,Michigan,USA
Au Chat Qui Pêche,,Paris,,France
Au Sable Lounge,15123 E. Warren Avenue,Detroit,Michigan,USA
Aubree's Second Floor,39 E. Cross Street,Ypsilanti,Michigan,USA
Auburn Memorial Auditorium,,Auburn,Alabama,USA
Audio-Video Recording Studios,730 Fifth Avenue,NYC,New York,USA
Auditorium Maximum,Hans-Wittwer-Straße 07,Berlin,,Germany
Auditorium Theatre,70 E. Congress Parkway,Chicago,Illinois,USA
Augies,31660 John R,Madison Heights,Michigan,USA
Augusta-Richmond County Civic Center,601 Seventh Street,Augusta,Georgia,USA
Aura Recording Studios,136 W. 52nd Street,NYC,New York,USA
Austin Catholic Preparatory School,18300 E. Warren Avenue,Detroit,Michigan,USA
Austin City Coliseum,1000 Barton Springs Road,Austin,Texas,USA
Austin Municipal Auditorium,701 W. Riverside Drive,Austin,Texas,USA
Austin Music Hall,208 Nueces Street,Austin,Texas,USA
Austin Opera House,200 Academy Drive,Austin,Texas,USA
Austin360 Amphitheater,9201 Circuit of the Americas Boulevard,Del Valle,Texas,USA
Austins,3617 Debby Drive,Montgomery,Alabama,USA
AutoWest Amphitheatre,2677 Forty Mile Road,Marysville,California,USA
Avalon,15 Lansdowne Street,Boston,Massachusetts,USA
Avalon Ballroom,1268 Sutter Street,San Francisco,California,USA
Avalon Ballroom,,Niles,Michigan,USA
Avalon Ballroom (WI),,La Crosse,Wisconsin,USA
Avalon Theater,3605 S. State Street,Salt Lake City,Utah,USA
Avatar Studios,441 W. 53rd Street,NYC,New York,USA
Avehicle,639 S. Main Street,Ann Arbor,Michigan,USA
Avenue Theatre,9030 118 Avenue NW,Edmonton,Alberta,Canada
Avery Fisher Hall,10 Lincoln Center Plaza,NYC,New York,USA
Aviva Stadium,62 Lansdowne Road,Dublin,Leinster,Ireland
Avon Bar & Restaurant,3982 W. Auburn Road,Rochester Hills,Michigan,USA
Avondale High School,2800 Waukegan Road,Auburn Hills,Michigan,USA
AWD-Arena,Robert-Enke-Straße 3,Hanover,Lower Saxony,Germany
Axle's,20401 W. Eight Mile Road,Detroit,Michigan,USA
B Side,,Kalamazoo,Michigan,USA
B&C Club,1730 St. Antoine Street,Detroit,Michigan,USA
B'Ginnings,1227 E. Golf Road,Schaumberg,Illinois,USA
B'Stilla Bistro,16227 E. Warren Avenue,Detroit,Michigan,USA
B-C Theatre Bar,1730 St. Antoine Street,Detroit,Michigan,USA
B.B. McClain's,4675 Munson Street NW,Canton,Ohio,USA
Baba O'Riley's Café,6 Truman Street,New London,Connecticut,USA
Babe Baker's Jazz Corner,3128 Reading Road,Cincinnati,Ohio,USA
Baby's Lounge,34828 Michigan Avenue,Wayne,Michigan,USA
Babylon,2504 San Pablo Avenue,Berkeley,California,USA
Bacchanal,8022 Clairmont Mesa Boulevard,San Diego,California,USA
Bacci Abbracci,40 W. Pike Street,Pontiac,Michigan,USA
Baceda's,1607 E. Hastings Street,Vancouver,British Columbia,Canada
Bach Dining & Dynamite Society,311 Mirada Road,Half Moon Bay,California,USA
Bachelor's III,1745 E. Sunrise Boulevard,Fort Lauderdale,Florida,USA
Bachelor's One,1967 Cass Lake Road,Keego Harbor,Michigan,USA
Back Door,137 Portage Street,Kalamazoo,Michigan,USA
Back Door,313 Ashmun Street,Sault Ste. Marie,Michigan,USA
Back Room,515 Buckham Alley,Flint,Michigan,USA
Back Seat Saloon,3064 Orchard Lake Road,Keego Harbor,Michigan,USA
Bad Axe High School,750 S. Van Dyke Road,Bad Axe,Michigan,USA
Bad Frog Tavern,555 S. Old Woodward Avenue,Birmingham,Michigan,USA
Baghdad Theatre,3667 Las Vegas Boulevard S,Las Vegas,Nevada,USA
Baileys Derby,,Derby,East Midlands,England
Baileys Leicester,Haymarket,Leicester,East Midlands,England
Baileys Sheffield,Bank Street,Sheffield,South Yorkshire,England
Baileys Watford,127 The Parade,Watford,Hertfordshire,England
Baja Beach Club,201 Atwater Street,Detroit,Michigan,USA
Baja's Park 12,23400 Michigan Avenue,Dearborn,Michigan,USA
Baker's Ballroom,2025 Milford Road,Milford,Michigan,USA
Baker's Keyboard Lounge,20510 Livernois Avenue,Detroit,Michigan,USA
Baker's Streetcar Bar,9817 Jos. Campau Avenue,Hamtramck,Michigan,USA
Baker's Uptown,1 N. Saginaw Street,Pontiac,Michigan,USA
Bakersfield Memorial Auditorium,1341 G Street,Bakersfield,California,USA
Balduck Park,5271 Canyon Street,Detroit,Michigan,USA
Baldwin Municipal Airport,,Baldwin,Michigan,USA
Baldwin Theatre,415 S. Lafayette Avenue,Royal Oak,Michigan,USA
Baltimore Arena,201 W. Baltimore Street,Baltimore,Maryland,USA
Baltimore Civic Center,201 W. Baltimore Street,Baltimore,Maryland,USA
Baltimore Coliseum,2201 N. Monroe Street,Baltimore,Maryland,USA
Baltiska Hallen,Eric Perssons väg,Malmö,Scania,Sweden
Bam Webster Farm,Highway 99,Columbia,Tennessee,USA
Bamboo Room,3071 W. Grand Boulevard,Detroit,Michigan,USA
Bandit's Villa,16535 Livernois Avenue,Detroit,Michigan,USA
Bangor Auditorium,,Bangor,Maine,USA
BankAtlantic Center,1 Panther Parkway,Sunrise,Florida,USA
Bankers Life Fieldhouse,125 S. Pennsylvania Street,Indianapolis,Indiana,USA
Bar One,,Mount Pleasant,Michigan,USA
Barbarella's,41 Cumberland Street,Birmingham,West Midlands,England
Barbee's Record Store,609 E. Lafayette Street,Detroit,Michigan,USA
Barcelona Olympic Hall,Avenue Alfonso XIII,Barcelona,Catalonia,Spain
Barclay Studios,,Paris,,France
Barclays Center,620 Atlantic Avenue,Brooklyn,New York,USA
Barigozzi Studios,Via E.Nöe,Milan,Lombardy,Italy
Barney Google's,225 E. 86th Street,NYC,New York,USA
Barnstormer Entertainment Complex,9411 E. M-36,Whitmore Lake,Michigan,USA
Barristers,147 Jefferson Avenue,Memphis,Tennessee,USA
Barrowland Ballroom,244 Gallowgate,Glasgow,,Scotland
Barry County Fairgounds,1350 N. M37 Highway,Hastings,Michigan,USA
Barrymore's,323 Bank Street,Ottawa,Ontario,Canada
Bartlett's Pavilion,2740 Bartlett Road,Pleasant Lake,Michigan,USA
Barton Coliseum,2600 Howard Street,Little Rock,Arkansas,USA
Barton Hall,,Grand Rapids,Michigan,USA
Basin Street East,137 E. 48th Street,Greenwich Village,New York,USA
Bass Lake Pavilion,,Alma,Michigan,USA
Batley Variety Club,Bradford Road,Batley,West Yorkshire,England
Bavarian Inn,1 Covered Bridge Lane,Frankenmuth,Michigan,USA
Bay City Armory,2510 Wilder Road,Bay City,Michigan,USA
Bay City State Theatre,913 Washington Avenue,Bay City,Michigan,USA
Bay Pointe Golf Club,4001 Haggerty Road,West Bloomfield Township,Michigan,USA
Bay Side Music Stage,108 W. Grandview Parkway,Traverse City,Michigan,USA
Bayfront Auditorium,900 S. Palafox Street,Pensacola,Florida,USA
Bayfront Center,400 First Street S,St. Petersburg,Florida,USA
Bayshore Inn,1601 Bayshore Drive,Vancouver,British Columbia,Canada
BB&T Center,1 Panther Parkway,Sunrise,Florida,USA
BBC Steakhouse,350 E. 14 Mile Road,Madison Heights,Michigan,USA
BC Place,777 Pacific Boulevard,Vancouver,British Columbia,Canada
Be Here Now,5 Biltmore Avenue,Asheville,North Carolina,USA
Beacham Theatre,46 N. Orange Avenue,Orlando,Florida,USA
Beachland Ballroom,15711 Waterloo Road,Cleveland,Ohio,USA
Beachland Tavern,15711 Waterloo Road,Cleveland,Ohio,USA
Beacon Theatre,2124 Broadway,NYC,New York,USA
Beale Street Blues,8 N. Saginaw Street,Pontiac,Michigan,USA
Bear's Den,2972 Coolidge Highway,Berkley,Michigan,USA
Beasley Coliseum,225 N. Grand Avenue,Pullman,Washington,USA
Beat Exchange,2300 Chartres Street,New Orleans,Louisiana,USA
Beat Kitchen,2100 W. Belmont Avenue,Chicago,Illinois,USA
Beatrice Buck Park,230 E. Grand River Avenue,Detroit,Michigan,USA
Beau Rivage Hotel & Casino,875 Beach Boulevard,Biloxi,Mississippi,USA
Beaumont Civic Center,701 Main Street,Beaumont,Texas,USA
Bedford College,Inner Circle,London,Regent's Park,England
Bee Hive Lounge,1503 E. 55th Street,Chicago,Illinois,USA
Beefsteak Charlie's,12th & Fifth Avenues,NYC,New York,USA
Beer Garden,20 Boulevard Crémazie Est,Montréal,Quebec,Canada
Beerland,711½ Red River Street,Austin,Texas,USA
Belanger Park,1 Belanger Park Drive,River Rouge,Michigan,USA
Belcrest Hotel,5440 Cass Avenue,Detroit,Michigan,USA
Bell Centre,1909 Avenue des Canadiens-de-Montréal,Montréal,Quebec,Canada
Bell Sound Studios,237 W. 54th Street,NYC,New York,USA
Bell's Eccentric Café,355 E. Kalamazoo Avenue,Kalamazoo,Michigan,USA
Belle Isle,,Detroit,Michigan,USA
Belle River High School,333 South Street,Belle River,Ontario,Canada
Belle Vue Zoological Gardens,,Manchester,North West England,England
Belleville Township High School West,4063 Frank Scott Parkway,Belleville,Illinois,USA
Bellevue Tavern,1271 Riverside Drive E,Windsor,Ontario,Canada
Bellstar Lounge,,Colden,New York,USA
Belly Up Tavern,143 S. Cedros Avenue,Solana Beach,California,USA
Beltone Recording Studios,1650 Broadway,NYC,New York,USA
Belvidere Community Building,111 W. First Street,Belvidere,Illinois,USA
BeMo's Bar,701 S. Madison Avenue,Bay City,Michigan,USA
Ben Agree Hall,3549 S. Dort Highway,Flint,Michigan,USA
Ben Cox's High Chaparral,6683 Gratiot Avenue,Detroit,Michigan,USA
Benedictine Stadium,8001 West Outer Drive,Detroit,Michigan,USA
Bentley's,1815 N. Main Street,Royal Oak,Michigan,USA
Berbati's Pan,231 SW Ankeny Street,Portland,Oregon,USA
Berkeley Community Theatre,1930 Allston Way,Berkeley,California,USA
Berkeley Square,1333 University Avenue,Berkeley,California,USA
Berklee Performance Center,136 Massachusetts Avenue,Boston,Massachusetts,USA
Berkley Front,3087 W. 12 Mile Road,Berkley,Michigan,USA
Berkley High School,2325 Catalpa Drive,Berkley,Michigan,USA
Berlin Sportpalast,,Berlin,Schöneberg,Germany
Berliner Philharmonie,Herbert-von-Karajan-Straße 1,Berlin,Berlin,Germany
Bernhard Center,,Kalamazoo,Michigan,USA
Bernhardt Gallery,2469 Grand River Avenue,Detroit,Michigan,USA
Berns Salonger,Berzelii Park 103 25,Stockholm,Södermanland & Uppland,Sweden
Berrien County Fairgrounds,9122 Old U.S. 31,Berrien Springs,Michigan,USA
Berry Events Center,1401 Presque Isle Avenue,Marquette,Michigan,USA
Bert's Jazz on the River,7304 Loiter Way,Detroit,Michigan,USA
